semantic derivation,domain,semantics,PA_root,PIE,IE_cognates,translation,luw,hitt,pal,lyd,lyc_A,lyc_B,pis,sid,car,comments
two options: blood → tears; rain → tears,distress,tear,*sH1aH1ru-,*sE2eu̯-H2-,"Gk. δάκρυ, Lat. lacruma, Olr. dēr, Goth, tagr, OHG zahar), *draḱur (Arm. artawsr), *draḱnu- (OHG trahan), *aḱru (Ved. áśru, Avest. asrū-, Toch. A ākär [pl. A ākrunt, B akrūna], Lith. ašarà).","tears, to shed tears",(*476)ASḪA-ḫi-ru-r (R.Oreshko),išhahru- /išhahruwe/a-,,,,,,,,"Indo-European 'tear' words are mostly (except Slavic [Russian sleza] and Albanian [lot]) traceable to *daḱru- (<*draḱ-ru-: Gk. δάκρυ, Lat. lacruma, Olr. dēr, Goth, tagr, OHG zahar), *draḱur (Arm. artawsr), *draḱnu- (OHG trahan), *aḱru (Ved. áśru, Avest. asrū-, Toch. A ākär [pl. A ākrunt, B akrūna], Lith. ašarà). ishahru is clearly the basic spelling, with the occasional ēshahru influenced by the proximity of ēshar on the ""calamity lists"" (e.g. KUB VII 41 Vs. 18-19); hence the i- may be phonetically and/or orthographically prothetic (cf. e.g. ishiya-), and a possible reconstruction is *sH1aH1ru-. Oettinger posited ishahru<*sA1aḱru (s-mobile + [A1]aḱru, with h<k as in occasional hazhara- <hazgara-), where the attestation of s-mobile before laryngeal would be chiastically proportionate to Hitt. he(w)u-: Toch. A swase, OPruss. suge 'rain' (*[s]E2ew-H2-). In that case *A1aḱru can hardly be a secondary aberration from *daḱru (the a- vocalism of the latter being also unexplained); there is rather *(s-)A1aḱru- besides *(d-)A1aḱ-ru>*daḱru-, but with occasional *A1>*r in some forms of Indo-European (Arm. artawsr<*draḱur, OHG trahan<*draḱ-nu-), comparable to the Hittite alternation wahnu-: warnu-; another trace of such ""d-mobile"" may be seen in Lith. ilgas 'long' besides the more usual d-forms (Skt. dīrghá-, etc.), or in Ved. áhar 'day' beside OE dōgor. *A1aḱru- conceivably has basic truck with *aḱri-, aḱro- (Skt. áśri- 'edge', Gk. ἄκρις 'point, peak', Lat. ācer, Lith. ašrús, OCS ostrǔ 'sharp'), in the sense of 'bitter, acrid (fluid)' (cf. the universal cliche 'bitter tears'). A clause from ASSUR letter f+g, § 7 read in CHLI (HAWKINS 2000: 536, cf. 550) as follows: ""|“*476”-wa/i-pa-wa/i (*476.*311)ḫi-ru-ra+a-ti-i |ARḪA |wa/i-la-u-ta"". The sequence read as ASḪA-ḫi-ru-ra+a-ti can be interpreted phonetically as as ḫaḫ(e)ruradi which can be analyzed as an abl.-instr.sg. form of asḫaḫ(e)rur-. As a result, the passage can now be interpreted as expressing the idea of ‘eyes dying out from tears’. NB! The mainstream meaning in eDiAna for ASḪA-ḫi-ru-ra+a-ti -- about CURSE and OATH, see https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=3571."
haplology: *alala + lamniya- 'call out alala',distress,wail,*h3ór-/h3r-´,,"Arm. alalak 'cry, scream'; Gk ἄλαλά'cry aloud'","to sob loudly, to wail","(“*476.*311”)a-li-ia- and (“*476”)LOCUS-li-ia- (R.Oreshko)Hieroglyphic Luwian /arla-/, ara/i-la- ‘pedestal, altar (?) Cuneiform Luwian *ārla(/i)- ‘place (?) /aru-/, á-ru ‘highly, in high measure’",alalamnai- alalamniya- рыдать (громко),arū-/-aw- ‘high’,ara- ‘estate’,*eru- ‘high’,,,,*arliš / *arĺiš ,"Perhaps haplological for *alala + lamniya- 'call out alala; cf. Arm. alalak 'cry, scream'; Gk. interjection, 'outcry', 'cry aloud', 'alas', 'cry out'. For lamniya-, cf. s.v. laman-."
onomatopoeic (wow! oi-wei! ← wai-),distress,wail,*u̯āi̯-! ‘woe’ ,*u̯āi̯-! ,"Av., Gk., Lat., Celt., Germ., Balt., Alb.) attest an interjection PIE *u̯ai̯!, which expresses pain, sorrow, grief, etc., thus ‘alas!’","to wail, to scream, to yell","/wai-/, wa/i-i; waḫra-, waḫri-(ti); wiwai-; (GK) uwai- ‘to make someone feel sorry for oneself’; (CL) (u)wāi- ‘woe’ uwai-to make someone feel sorry for oneself",wai-/we-/wesk-/wiya-; waḫra- (CL); wiyai-; (u)wāi- ‘woe’,,,,,,,,"PAnat *u̯āi! ‘woe’. The presence of the word (u)wāi- c. ‘woe’ in both Hittite and Luwian allows us to reconstruct a Proto-Anatolian pre-form. The onomatopoetic character of the word, which can be associated with a cry of pain, leads us to a reconstruction with the vowel -a-, i.e. *u̯āi!. Kloekhorst (EDHIL:939) agrees with the onomatopoetic origin of the word, but suggests that (u)wāi- is nevertheless a derivative of ú-i ‘whee!’ attested in Hittite (KUB 55.38 ii 19). Although it is morphologically possible that (u)wāi- is a morphological creation after (Hittite) diphthong stems in -āi- c., it is not necessary either to posit a derivation. Both ú-i and ú-wa-a-i can be independent onomatopoetic creations, in which the latter became fully lexicalized as a declining noun with the meaning ‘woe’. For the Hittite phrase a-i-in ú-wa-a-i-in see HEG U-Z:170f. and EDHIL:939. Besides PAnat. *u̯āi̯- c. ‘woe’, a noun is attested in distant parts of the IE world (Av., Celt., Germ., Alb.). Thus, the noun may be reconstructed for the proto-language as PIE *u̯ai̯- ‘woe’. “Root” etymology: various non-Anatolian languages (Av., Gk., Lat., Celt., Germ., Balt., Alb.) attest an interjection PIE *u̯ai̯!, which expresses pain, sorrow, grief, etc., thus ‘alas!’ vel sim."
"to weigh a lot, to be heavy (physically) → to carry weight (figuratively) → to be important (shift: heavy burden → heavy → important); weight, heaviness → strength → power, influence → importance → respect, esteem, attentiveness, love",distress / respect,anxiety,*nakki- (from Instr.) ,"*h1nek̑-, *h1nok̑-","Gk. ἐνεγκ-ε/ο-, ἐνήνοχα, carry,  Lith. nasta  'weight, burden'","to trouble, worry; (of a matter/person) to be(come) someone’s concern, to weigh on someone; to be difficult for someone; (as a participle/adj.) honoured, revered; hence valuable, important; to treat with respect, show respect (to)",,"nakkiyaḫḫ-; nakki- 'important'; nakkiyaḫḫ-, nakki-: nakkušatar, nakkušann-; nakkiya-; nakkešš- (together with a synonym dassu- can be written DUGUD)",,,,,,,,Puhvel (HED N:49-51)
"to speak with gravity, loudly → to swear → to give a false oath",enmity,curse,"*h2ēru̯o- 'oath', *h1r̥h1-i̯é/ó- ",*h2er-,,to curse,"ḫīrūtaniya-(ti) ‘to swear, commit perjury’; /hirud-/, (“*476”)hi-ru-tà- ‘curse, false oath (?)’; CL ḫīrūn/t- ‘(false) oath’",ḫurtai-; hu(wa)rt- CL ḫīruta- ‘(false) oath’,,"irdu- ‘oath (?)’ -- hapax, an arrangement that someone can decree for someone else",,,,,,"HED: PIE *h2órt-ei / *h2urt-énti?. *h2uert; *H1wer(t)- (vs. *wer-[E-] in weriya-) with a more specific meaning than the overworked 'feierlich sprechen'. Plausible cognates are Skt. vrata- 'vow', OCS rota 'oath', OPr. wer-temmai 'we swear', and perhaps (in malam partem) Russ. vrat' 'lie', OCS vraci 'conjurer, magician, physician' Kloekhorst 372 ḫuart-i / ḫurt- (IIa1 > IIa1) ‘to curse’ IE cognates: ?OPr. wertemmai ‘we swear’. Sturtevant (1930d: 128) connected this verb with Lat. verbum ‘word’, Lith. vadas ‘name’, OPr. wirds ‘word’, Goth. waurd ‘word’. Puhvel (l.c.) rejects this etymology because he assumes that these latter words are derived from the root found in Gr.‘to speak’ and Hitt. erie/a-zi ‘to call, to name’: since Hitt. erie/a- does not show an initial laryngeal whereas Hitt. uart-i / urt- does, he claims that the connection cannot be correct. This reasoning is questionable, however, in view of the fact that Hitt. erie/a-zi must reflect *uerh1- (because of Gr. ""(fut.)), which is impossible for Lith. vadas, which must reflect *ordho- (a preform **orh1dho-would have yielded Lith. **várdas). So, formally, Sturtevant’s connection between uart-i / urt- and Lat. verbum etc. is still possible: it would mean that we have to reconstruct a root *h2uerdh -. The semantic connection between ‘to curse’ and ‘name, word’ is not compelling, however. Puhvel (l.c.) proposed a different etymology, namely a connection with OPr. wertemmai ‘we swear’. This connection is semantically more likely and would point to a root *h2uert-. The absence of any other IE cognates is unpleasant, however. *h2ēru̯o- ‘oath’ Laroche 1955a:78-81 first elucidated the meaning of ḫīrūn/t- by equating it with Hitt. lengai- c. ‘oath’. After Otten 1953a:95 n. 166 had noticed that ḫīrūn/t- has a negative connotation, Laroche pointed out the following features of the word: a) it is used as a modifier of ‘tongue’ and ‘lord’, b) it is also collocated with taparu- ‘(something negative, humiliation, https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=3567)’ and tātariyam(ma)n- ‘curse’ in Luwian, c) it is used as an epithet of Išḫara and the Sun-god functioning as a guardian and witness of oath, respectively, d) EME ‘tongue’ is modified by the genitival attributes lengai- ‘oath’ and ḫurtai- ‘oath’ in Hittite. Taken together, the evidence allows to equate semantically ḫīrūn/t- with lengai- ‘oath’. Laroche’s interpretation was generally accepted and soon entered the handbooks; Vedic ā́-aryanti ‘they appreciate, acknowledge’, āritá- ‘acknowledged’, ncient Greek ἀρά, Ionic ᾱ̓ρή f. ‘prayer, vow, curse’ (Il.+) < *aru̯ā́, Arcadian κάταρϝος ‘cursed’, (?) Mycenaean personal names ka-ta-wa, ka-ta-wo, (?) ἀρύω ‘reply, order, cry, call’, Latin ōrō, -āre ‘argue, plead; pray to, beseech’ (Lex XII, Andr.+), Oscan urust 3sg fut. perf. ‘will have argued (publicly), Russian orú, orátь ‘yell, scream’, Serbo-Croatian oriti se ‘resound, resonate, Armenian owranam, aor. owracʿaw ‘deny, disavow’ In LIV²:271 s.v. ?3. *h2er-, the meaning of the root is rendered as ‘speak with gravity, loudly’ (“gewichtig/laut sprechen”; see also Rix 1993a:331–334), which fits to most of the verbal and nominal continuants of the root in the Indo-European languages that predominantly refer to some official or performative speech act."
to speak → to curse,enmity,curse,*tér-/tṛ-´,,,to curse,"HL /tadariya-(i)/, (LOQUI)tá-tara/i-ia- ‘to curse’; CL *tatariya-(i) ‘to curse’",tar- ‘to say’,dar- ‘to speak (?)’,,dderije-(ti) ‘to curse (?)’,,,,,"PLuwic *tedorii̯a-(i) ‘to curse’ Skt. tārá- ‘loud, shrill, pervasive’ [+] Gk. fut. 1sg. τετορήσω ‘to proclaim in shrill piercing tones’ (hapax, Ar.Pax381), τορός ‘loud, shrill, clear; fast, agile’, OIr. torm ‘sound, tumult’, Lith. tariù, tarýti ‘to speak, say’, OPr. attrātwei, etc. ‘to answer’, acc. sg. tārin f. ‘voice’ (III) EDBIL:—, ALEW 2.0 s.v. tar̃ti (2022-02-11), PKEŽ² s.vv. tārin (2022-02-23), attrātwei (2022-02-23), Smoczyński 2005a:131 (?), Russ. torotórit’ ‘to chatter’, Cz. trátořiti ‘to chatter (a lot)’ TochB m‑part. tärraskemane ‘pleading, imploring’ or ‘comforting, soothing’ (hapax, THT 85 a 3) PIE *terh1- ‘to drill, rub’ (LIV²:632f.) or PIE *terh2- ‘to pass, cross’ ? but PIE *ter- ‘to speak’."
god → Sun-god (Tiwat) → to call Tiwat (the Sun-god) as witness → swear → curse,enmity,curse,*di̯éu̯-/diu̯-´ ‘god’,*di̯éu̯‑/*diu̯‑´*dheu̯-,"Ved. dyáv-, div-´ m./f. ‘heaven, day; god of heaven, father heaven’ (RV+); YAv. gen. sg. diiaoš ‘of the (breed of) hell’ (Yt 3.13), OAv. fraidiuuā ‘always again’ (Y 32.14) Myc. gen. sg. di-wo /diu̯os/, dat. sg. di-we /diu̯ei̯/ m. ‘?Zeus’; Gk. (Hom.) nom. sg. Ζεύς m. god name ‘Zeus’, gen. sg. Διός, Ζηνός, dat. sg. Διί, Ζηνί, acc. sg. Ζῆν (cf. εὐρύοπα Ζῆν, e.g., Il. 8.206), Ζῆνα, Δία, voc. sg. Zεῦ (all Il.+) Arm. tiw ‘day’, abl. sg. towē, gen. dat. loc. sg. towǝnǰean, Lat. Iuppiter, Iouis m. divine name ‘Jupiter’ (Naev.+): nom. sg. Iūpiter, later Iuppiter, also Iouis (Enn., Acc.+), acc. sg. (inscr.) Diovem (Praeneste), Iouem, gen. sg. Diouos, Iouos, Diouo (Praeneste, Norba), Diouis, Iouis, dat. sg. Diouei (Falerii, Mesagne), Iouei (Praeneste, Spoleto), Iouī, abl. sg. Ioue, nom. pl. Iouēs (Cic.); Osc. nom. sg. dípatír, gen. sg. διωϝηις, iúveís, zoves (Presam. διπoτερες, Marr. ioues patres), dat. sg. διoυϝει, ζωϝηι, ιoυϝηι, diúveí, iúveí, iuveí (Mars. ioue); Umbr. voc. sg. iupater, di, dei, gen. sg. iuvip(atres?), dat. sg. iuve, iuue, iuvepatre, iuve patre, OIr. nom./gen. sg. die, día m. ‘day’, acc./dat. sg. dé, OW did m. ‘day’, diu sul m. ‘Sunday’, MW dyw, W dydd m. ‘day’, Corn. deth, Bret. deiz m. — OIr. indiu ‘today’, W heddiw, MCorn. hethew, MBret. hizio, NBret. hirio, ?OCS dŭždĭ m. ‘rainstorm, bad weather’, Russ. nom. sg. doždĭ, gen. sg. doždja, SCr. dȁžd, gen. sg. dàžda ‘id.","to swear, curse; swearing, cursing",tiwataniya-(ti); tiwataniya-; tiwataniyama-; tiwataniye/a-(mi); tiwatani-(ti) */tiw-/ ‘deity’,"šiu(n)- c. ‘god’, ", *tiu(n)- ‘god’,ciw- ‘god’,,ziwi ‘divinity (vel sim.)’,,,,"PIE *di̯éu̯‑/*diu̯‑´. Korolev & Shevoroshkin 1969a:527 (followed by Shevoroshkin 1971a:217 and Shevoroshkin 1977a:139, Gehrisch 2018a:87) suggests translating dat. sg. ziwi as ‘god’, which would be supported from the Indo-European perspective (the root *di̯eu-, as in Hitt. siu(n)- ‘god’, Lyd. ciw- ‘id.’). Melchert (DLL:138) finds the etymology unpersuasive, probably on account of the phonology. However, Sasseville 2021d brings evidence that the initial sequence *di-/di̯- in Lycian B would have behaved differently from Lycian A (adducing the personal name tiwi-θθeimija-/tiwi-θθeimi) and a potential second example of this sound law in Lyc. B zireime/i-. Thus, the Lycian B phonological development of this sequence would be parallel to the Lydian one. Ved. dyáv-, div-´ m./f. ‘heaven, day; god of heaven, father heaven’ (RV+); YAv. gen. sg. diiaoš ‘of the (breed of) hell’ (Yt 3.13), OAv. fraidiuuā ‘always again’ (Y 32.14) Myc. gen. sg. di-wo /diu̯os/, dat. sg. di-we /diu̯ei̯/ m. ‘?Zeus’; Gk. (Hom.) nom. sg. Ζεύς m. god name ‘Zeus’, gen. sg. Διός, Ζηνός, dat. sg. Διί, Ζηνί, acc. sg. Ζῆν (cf. εὐρύοπα Ζῆν, e.g., Il. 8.206), Ζῆνα, Δία, voc. sg. Zεῦ (all Il.+) Arm. tiw ‘day’, abl. sg. towē, gen. dat. loc. sg. towǝnǰean, Lat. Iuppiter, Iouis m. divine name ‘Jupiter’ (Naev.+): nom. sg. Iūpiter, later Iuppiter, also Iouis (Enn., Acc.+), acc. sg. (inscr.) Diovem (Praeneste), Iouem, gen. sg. Diouos, Iouos, Diouo (Praeneste, Norba), Diouis, Iouis, dat. sg. Diouei (Falerii, Mesagne), Iouei (Praeneste, Spoleto), Iouī, abl. sg. Ioue, nom. pl. Iouēs (Cic.); Osc. nom. sg. dípatír, gen. sg. διωϝηις, iúveís, zoves (Presam. διπoτερες, Marr. ioues patres), dat. sg. διoυϝει, ζωϝηι, ιoυϝηι, diúveí, iúveí, iuveí (Mars. ioue); Umbr. voc. sg. iupater, di, dei, gen. sg. iuvip(atres?), dat. sg. iuve, iuue, iuvepatre, iuve patre, OIr. nom./gen. sg. die, día m. ‘day’, acc./dat. sg. dé, OW did m. ‘day’, diu sul m. ‘Sunday’, MW dyw, W dydd m. ‘day’, Corn. deth, Bret. deiz m. — OIr. indiu ‘today’, W heddiw, MCorn. hethew, MBret. hizio, NBret. hirio, ?OCS dŭždĭ m. ‘rainstorm, bad weather’, Russ. nom. sg. doždĭ, gen. sg. doždja, SCr. dȁžd, gen. sg. dàžda ‘id.’ See in eDiAna: https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=2665"
to hate (basic verb) → to despise,enmity,hate,"*Peu̯KH- ‘to hate, to despise’",*bheu̯-g,"Gk. φεύγω, Lat. fugiō ‘flee’, Lith. būgti ",to hate; to despise; hateful,,"pukk-/ pugga- '‘to be hateful, to  be repulsive'",,,,puke-(ti) ‘to hate’,,,,"PAna *Peu̯KH- ‘to hate, to despise’ Kloekhorst 681 See Tischler (HEG P: 641f.) for the different etymological proposals, which I all find improbable: connections with *bheugh- ‘to bend, to flee’, with Skt. pyati ‘to stink’, with Lith. pìktas ‘bad, evil’ and with Goth. fauho ‘fox’ either have the wrong semantics or the wrong form (-kk- must reflect *-k-). Derivatives: pukkant- ‘hated, hateful, repulsive’ (nom.sg.c. pu-uk-kán-za (NH), nom.-acc.sg.n. pu-uk-kán (NH)), pukkanu-zi, pukkunu-zi (Ib2) ‘to cause (someone) to be hated, to create dissension’ (3sg.prs.act. pu-uk-ka4-nu-zi (NH), 2pl.pres.act. [p]u-ug-ga-nu-ut-te-ni (MH?/NS); part. pu-uk-ka4-nu-a-an-t- (NH); verb.noun pu-uk-ku-nu-mar (NS), gen.sg. pu-uk-ka4-nu-ma-aš (NS); impf. [pu-]uk-ka4-nu-uš-ke/a- (MH/NS)). PIE *bhew-g-, see Gk. φεύγω, Lat. fugiō ‘flee’, Lith. būgti ‘to be scared’."
"to hurt, to damage → to disapprove of",enmity,disapproval,*mork-iye/o- 'hurt',*mork-iye/o- 'hurt',"Skt. marc- ‘to hurt, to damage’, Lat. murcus ‘mutilated’",to disapprove,,markie/a-zi,,,,,,,,"According to Knobloch (1959: 39), followed by Oettinger (1979a: 346)), this verb belongs with Skt. marc- ‘to hurt, to damage’ and Lat. murcus ‘mutilated’. Puhvel (HED 6: 76) agrees with him and provides convincing parallels for a semantic shift of ‘to hurt, to damage’ to ‘to disapprove of’. Formally, we see a nice similarity between Skt. pres. marcáyati and Hitt. markiazi < *morkéyeti 'makes hurt'."
to be savage → to rage → to be hostile,enmity,hostile,kūr,*ĝhuh1r-ur-,"Ved. hvarate 'deviate', Avest. zurah- 'iniquity', OCS zverъ, Lith. zveris, Lat. furor 'rage', Skt. krūrá- ‘bloody’",hostile  ,,"kūrur- (n.) ‘enmity, hostility, war(fare)’, kūrura- (c.) ‘enemy’:",,,,,,,,"Puhvel (285) Somewhat like kallar- 'balefulness' (q.v.), kurur- is at the base an abstract neuter noun which has diversified a bit via appositional juxtaposition and specific derivation, partly on the model of Akk. nakdru. Despite Benveniste's despairing ""isole et inanalysable"" (Origines 37), kurur- was improbably connected with Skt. krura- 'bloody, cruel', Lat. eruor 'blood', crudus 'raw' (etc.) from H. Holma (Jour- nal de la Soeiete finno-ougrienne 33.1:66 [1916]) and Hrozny (Heth KB 137) to Sturtevant (Lg. 6:217 [1930], Comp. Or.1 32, Comp Gr2 56-7) and beyond, possibly as a dissimilatory *krurur (Kronasser, Etym. 1:103). Sturtevant himself launched a dubious parallel derivation of kurur- from kucr- 'cut' (Comp. Gr.] 119, 148) which lin-gered through Laroche (BSL 58:69 [1963]), Carruba (Beschwo-rungsritual 53, with wrong reference to Sturtevant), Gusmani (Lessico 117), and Oettinger (Stammhildung 120). Van Windekens (Arch.Or. 57:336 [1989]) thought of Gk. Papvq 'heavy'.H. Eichner's brief suggestion (MSS 31:75, 99 [1973]) kurur < *ghwr-\\r 'crookedness, deceit' and adduction of Ved. hvarate 'deviate', Avest. zurah- 'iniquity' was featured by Mayrhofer {KEWA 3:620) but remains semantically dubious and under the lingering cloud of Lai. falio 'deceive' and IE *gh\vel- (IEW489-90) as etyma of the Indo-Iranian words. Mayrhofer {KEWA 3:620) connected *ghwer- 'walk crookedly' with *gh\ver- 'wild beast' (Gk. Ofjp, OCS zverL Lith. zveris, Lat.ferns). This is very doubtful, but *gh\ver- itself may hold the clue to kurur-, with a root-meaning 'be savage, rage'; a *gh\vr-\vr 'savagery' may hence stand as the proto-form underlying kurur-. It might even be worth considering whether *gh\vr-wr holds the key also to the reshaped Lat. furor 'rage', since other etymologies for furo 'to rage' (*bhuro, *dhuso, *dhuro) are all flawed (see Walde-Mofmann and Ernout-Meillet s. v.), leaving the possibility of *ghuro (cf. fundo < *ghud-no). Semantically kurur- and furor make sense as referring originally to warlike fury, same as Irish ferg and German Wut (cf. the glossing of Wodan by 'Furor' [Adam of Bremen 4.26])."
"to push away → forsake, abandon → neglect → be unfriendly",enmity,hostile,*paskw-,,"Goth. af-skiuban ‘push away, forsake, abandon’","aloofness (?), unfriendliness (?) hapax",puškantatar; puškant(i)- HLuw. paskw- ‘to neglect’; pa-sà-REL-i (/paskwi/)'‘neglects’',"puškant(i)- ‘aloof (?), unfriendly (?); ’paškuwae-, pašku- (ант  (ḫuišnu-) 'aloofness'; V pašku- ‘to reject, to ignore; to neglect; to remove’ (EDHIL 651-652); V pasku(wai)- ‘abandon, forsake, dismiss, disown, discharge’ (HED Pa:190-192)",,,,,,,,"Kloekhorst (651): pašku-zi (Ib1 > Ic2) ‘to reject, to ignore; to neglect; to remove’: The original stem is pašku-, which is visible in the MS forms paškutta and paškuanzi. Especially the form 3sg.pret.act. paškutta (and not **paškut) shows that we have to phonologically interpret this stem as /paskw-/. In NH times, the trivial transition into the atrae-class yielded forms like paškunun and paškuwait. In HLuwian, we find a verbal form pa-sà-REL-i ‘neglects’ which likely is to be interpreted as /paskwi/ (note the i-inflection), which would indicate that the PAnat. form was *Paskw- (since *gw would have disappeared in Luwian). This is supported by the PN f Pa-aš-ku-a-am-mi-iš (KUB 31.59 ii 4), which formally is to be interpreted as a Luwian participle of a stem pašku(a)-. Kloekhorst knows of no IE cognates, however. Puhvel (HED Pa:190-192), A. Carnoy (La Nouvelle Clio 6: 231 [1954]) suggested *pa-sqeu- (comparing Lat. obscūrus), pasku- joins pastar(iya)- (q. v.) in attesting pa- matching Hitt. pe-. A verb pa-sku- resembles Goth. af-skiuban ‘push away, forsake, abandon’."
"to leave, abandon → defiecient → defective → not right → sin",enmity,offence,*u̯eh2š-dē- (assimilation is possible h-s > ss?) ,*h1u̯eh2-š-dheh1,"Ved.  ūná- ‘wanting, deficient, defective’ (AV+; cf. án-ūna- ‘unfailing, inexhaustible’ RV [+] ), Av. ūnā- ‘deficient (offering)’, Arm. ownayn ‘empty’,  Lati. vānus ‘empty’,  Proto-Germanic *wanaz ‘deficient, lacking (in)’ (Gothic wans, Old Norse vanr, Old English, Old High German wan ","sin, failure; offense; sinful, offensive (deed)",wašku(i)-; waškui(t)-; wašku(wa)llimma/i; waškuwan-; wašt(a)-,"waštul- (var. uštul-) wašta-/wašt-(ḫi) ‘to sin, offend’ wašku(i); waštul- /waštanu-",,,,,,,,"*h1u̯eh2- ‘leave, abandon, lose’ Vedic vā́yati ‘fades away, becomes empty, lacks, loses’ and Ancient Greek ἐάω ‘abandon, leave behind, leave alone’ (whence ‘let be, allow, permit’; see Nussbaum 1998b:79). An absolute intransitive meaning ‘quit, fail, be deficient’ (see Nussbaum 1998b:81–83) is suggested by Latvian vâjêt ‘become weak’ and a couple of nominal formations, including adjectives in *-(o)no- such as *h1uh2-no- > Vedic ūná- ‘wanting, deficient, defective’ (AV+; cf. án-ūna- ‘unfailing, inexhaustible’ RV [+] ), Avestan ūnā- ‘deficient (offering)’, Armenian ownayn ‘empty’, *h1u̯eh2-no- > Latin vānus ‘empty’, *h1uh2-ono- > Proto-Germanic *wanaz ‘deficient, lacking (in)’ (Gothic wans, Old Norse vanr, Old English, Old High German wan, etc.). It is not surprising that formations in this semantic range can adopt meanings of negative value judgment (e.g., Latin vānus ‘empty’ and ‘false, lying, deceptive, delusive, untrustworthy’, and further English fail and failure, German fehlen ‘to be missing’ and Verfehlung ‘wrongdoing, transgression’). In this regard, it is important to note that Hittite wašta-/wašt-(ḫi) also means ‘to miss (a target)’ (cf. Puhvel 1992a:7; HEG W-Z:406), which might preserve the older meaning. Kloekhorst 931 Derivatives: wašdulae-zi (Ic2) ‘to offend’ wašdulaant- ‘offense’ PIE *usTh2/3-éul This word clearly is cognate with ašta-i / ašt- ‘to sin’ (q.v.). Although the bulk of the attestations of this word show a stem wašdul-, the oldest ones show wuštul-. This latter stem therefore must have been the original one. Apparently, the zero grade stem ušt- of uštul- was replaced by ašt- in the early MH period, probably in analogy to the full grade stem of the verb. The fact that we find an original zero grade root in this noun implies that the suffix -ul- must have been accented, which is supported by the spelling a-aš-du-ú-li, which must reflect *-éul-i. See s.v. ašta-i / ašt- for further etymology. Note that despite the one NS commune form acc.sg.c. ašdulin all other forms clearly indicate that the word is neuter."
