concept,domain,semantics,PA root,PIE,IE-cognates,translation,luw,hitt,pal,lyd,lyc A,lyc B,pis,sid,carian,comments,datsemshift
bad → irritated / annoyed,distress,anxiety,PA*han- (*Hón-/Hn-),,,"to be vexed, perturbed (or sim.)","*/haniya-(i)/ 'malicious, redupl. */hanhaniya-(i)/ ; /haniyatt(a)-/, (“MALUS2”)ha-ní-ia-ta- ; /hanhaniwan-/, (“MALUS2”)ha-ha-ní-wa/i- ; GK ḫanḫaniya- '‘to be malicious’'",,,,,,,,,"from PA *Hón-/Hn-´ ‘to be vexed, perturbed’. Considering that the phenomenon of reduplication is productive in Luwian, especially for stems in -iya-(i) (cf. /huwiya-(i)/ ‘to run’ → /hwihwiya-(i)/), and that verbs expressing an emotional state can undergo a full reduplication in Anatolian (cf. Hitt. katkattiye/a-(mi) ‘to tremble’, laḫlaḫḫiye/a-(mi) ‘to be perturbed’), it is more likely that we are dealing with a root *ḫan- (Sasseville 2021:45)  https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=690",
sway/undulate → swing mood → agitated,distress,anxiety,"PLuw. *zar- ‘to sway, undulate’; PA *k̑er(H)- ‘to mix/undulate’",PIE *k̑erh2-,"Ved. āśír- f. ‘(ad)mixture (mostly: milk)’ (RV+, also as second member of compounds), ā́śīrta- ‘mixed (with milk)’; Gk. (°)κίρνημι (Od.+), Att. κεράννυμι, aor. κερά(σ)σαι (Il.+) ‘to mix, mingle (two liquids); to stir (to cool a liquid)’, ἄκρᾱτος ‘unmixed, neat (esp. of wine)’",возбужденный,zarimma-(ti);  zarimmi-(ti) zar -раскачиваться,"Hitt. zarzūr- n. ‘mixing, concoction (?)’, which Rieken 1999a:359 interprets as a Luwian word borrowed into Hittite",,,,,,,,"PLuw. *zar- ‘to sway, undulate’; PA *k̑er(H)- ‘to mix/ undulate’; PIE *k̑erh2-; Ved. āśír- f. ‘(ad)mixture (mostly: milk)’ (RV+, also as second member of compounds), ā́śīrta- ‘mixed (with milk)’; Gk. (°)κίρνημι (Od.+), Att. κεράννυμι, aor. κερά(σ)σαι (Il.+) ‘to mix, mingle (two liquids); to stir (to cool a liquid)’, ἄκρᾱτος ‘unmixed, neat (esp. of wine)’",
"noisy agitation in men and birds or animals (onomatopoeic) → fluster and fuss → nervousness, anxiety",distress,anxiety,PA */lalh-/,PIE *leh2-,,беспокоиться,"/lalhiliya-/, la+ra/i-hi-ri+i-ia-",laḫlaḫḫiya- (v.); laḫlaḫḫa- (n.) ,,,,,,,,"Finally, as in the semantic field of fear, worry can be expressed by (quasi)onomatopoeic reduplicated root: laḫlaḫiya- ‘be in commotion, scurry, scamper’ (normally with a locative particle =kan, to point out a locative connotation) structured on the same principle as kurkuriye- ‘to scare’ and katkatiya- to tremble’ (and also tastasiya- ' whisper', см. HED L:10–12). A.Kassian (pers.comm.) considers lahlahhiya- as a denominative of lahlahha- (c.), nom. sg. la-ah-la-ah-ha- as (KBo XLII 74 8). Puhvel allows it to be onomatopoeic, as in lah(h)anza(n)- (noisy agitation in men and birds or animals). Speaking of Anatolian cognates, one should refer to HLuw. (“COR”)la+ra/i-hi-ri+i-ia-zi /lalhiliyanzi/, which is a hapax from the Assur letter of the 8th c. BC (Bauer et al. 2017).",
"*katta- + *puwa; a cut, an indentation → transferred to feelings → depression, emptiness",distress,depression,PA *katta- + *puwa-,"IE *ko(m) + a cognate of OCS puvati
'trust' ???","Lat. putdre in the sense of 'cut, incise, carve', viz. notches onto a tally stick, thence 'count' and 'reckon' Hitt.puwai- 'pound' (Luwoid iter, pussai-; q.v.). Lat. pulare and TochAB putk- 'cut, divide, distinguish' both reflect *puto-, whereas (kap)puwai- is denominative from *pmvo- 'incision, dent, notch'; the first part, rather than an apocopated katt(a), may reflect *kom as a fused preverb, unlike its polarized gravitation into the sentence particle -kdn (q. v.). Hence kappuwai- seems to be close in kind and origin to Lat. com-putd",опустошенный,,kappuwae-,,,,,,,,"Puh p71 *kappuwa- by decomposing kappuwai- into katt(a) and *puwa- 'mark, color' (extracted from an obscure and controversial gloss-word puwatti-), but more importantly by adducing Lat. putdre in the sense of 'cut, incise, carve', viz. notches onto a tally stick, thence 'count' and 'reckon' Hitt.puwai- 'pound' (Luwoid iter, pussai-; q.v.). Lat. pulare and TochAB putk- 'cut, divide, distinguish' both reflect *puto-, whereas (kap)puwai- is denominative from *pmvo- 'incision, dent, notch'; the first part, rather than an apocopated katt(a), may reflect *kom as a fused preverb, unlike its polarized gravitation into the sentence particle -kdn (q. v.). Hence kappuwai- seems to be close in kind and origin to Lat. com-putd-  Duplicating a suggestion by V. Machek, Cop (Ling. 7:104 [1965], 8:61 [1966-8]) postulated IE *ko(m) + a cognate of OCS puvati 'trust', also mixing in Lat. (com) putd.


Pisani (1953: 307-8) analysed kappue/a- as
*katt(a) + pue/a-, which he connected with Lat. putre ‘to cut, to carve’. Считать?",
"war, battle → quarrel → anxiety (DatSemShift); might be the opposite direction",distress,"distress, anxiety",PA *(h1)r̥b(h)éh2-,PIE *(h1)r̥b(h)éh2,"Ved. rapas- 'infirmity, (bodily), Lat. rapid 'snatch  PAnat. *arp- can theoretically reflect either *A2er-p-, *H2or-p-, or*//2r/?-, with *Hr-ep- seen in the Vedic words; possibly arpa- <*H26rpo- (noun), but arpu-<*H2rpu- (adjective, neuter used as noun). The tie-in of arpa- with Lat. orbus 'bereft","unrest; tumult, strife; to be restless",(GK) arpā-  ‘unrest’; arpaša-  ‘to be restless’,arpaša- (GK),,,"erbbe(/i)- ‘battle, war’","erbbe(/i)- ‘battle, war’",,,,"*(h1)r̥b(h)éh2- Puhvel Laroche (RIIA 16:98 [1958]) interpreted Lyc. erbbe (<*arpa-\ e.g. TLy 29.3 erbbe; 44a.47 and 44c. 13 erbbedi [instr.]) as 'defeat' -- now the meaning 'defeat' is considered outdated, instead 'battle, war, turmoil of the battle', and similarly Lyc. B erbbesi- (TLy 44d.l3) as reflecting a Luw. *arpassi- (genitival adj.).  arpa- and arpu- must be parallel formations of at least Proto-Anatolian date. Couvreur's connection (Hett. 105) of arp- with RV 10.117.2 raphitd- 'overcome, wretched', Ved. rdpas- 'infirmity, (bodily) affliction' is formally and semantically plausible, although the further tie-in with Lat. rapid 'snatch' and an IE *rep- (FEW 865; supported by Tischler, KZ 86:278-80 [1972], Glossar 65-6) remains doubtful (cf. Mayrhofer, KEWA 3:41).                                                        PAnat. *arp- can theoretically reflect either *A2er-p-, *H2or-p-, or*//2r/?-, with *Hr-ep- seen in the Vedic words; possibly arpa- <*H26rpo- (noun), but arpu-<*H2rpu- (adjective, neuter used as noun). The tie-in of arpa- with Lat. orbus 'bereft' (IE *orbho-; lEW 781-2), current since Sturtevant (e.g. Comp. Gr} 93; still in Kronasser, Etym. 1:184), is implausible (see also s.v. har[a]p-). Cf. also arpamar.    ( Puhvel 171)                             See ediana: https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=2312",
onomatopoeic (< ai) from an interjection of pain *aH! (cf. Hitt. āi!),distress,pain,PA *áHreh2- ‘pain’,,,pain; state of painfullness,āḫra-; āḫraman-,āḫra- (CL),ārra- ‘pain (?)’Palaic sound change *-Hr- > -rr-,,,,,,,"The Luwian terms āḫra- and waḫra- found in these rituals are conventionally translated as “pain and woe,” which are related to the Hittite onomatopoetic terms aī- and waī- (HW2 A: 47; Kloekhorst 2008: 393; CLL: 4, 249)",
"presumably a hunting term, a compound hurna- (hu(wa)rna- ‘hunt, chase’) + pista- from pessiya- ‘to throw’ → transferred to feelings → sense of abandonment, being driven / hunted down??",distress,sadness,PHitt. *hurna- + pista-?,PIE *h2urH-,,sadness,,hurnapista-,,,,,,,,"hauntedness' (vel sim.), Puh 405 The semantic environment fairly well circumscribes hurnapista-as a psychic or psychosomatic affliction., Despite the assured reading huma- (cf. H. A. Hoffner, RHA 25:35 [1967], JAOS 87:357 [1967]), with a connection to harna- 'stir. agitate'. Probably a compound hurna-pista-; the first part bears comparison with hu(wa)rna- 'hunt, chase', the latter may have root affinity to pessiya-, piss(iy)a- 'throw'; perhaps a hunting term in figurative use.
",
"to tear (one’s clothes, in a mourning ritual) → to grieve",distress,sorrow,PA *lup-,PIE *leu̯p-,"Skt.lumpati 'break, plunder', lopdyati 'wound',  Lith. laupyti 'strip, rob' and OCS lupiti;","сожаление, горе",lumpašti- (CL),lumpašti- (CL),,,,,,,,"Puh118 *lewp- may be identical with verbs meaning 'tear off, peel,strip, flay' (Lith. lupti, OCS lupiti), expressing originally (as 'tear atoneself) self-infliction in grieving rituals. Here may belong also Skt.lumpati 'break, plunder', lopdyati 'wound', the latter formally matching Lith. laupyti 'strip, rob' and OCS lupiti; it would showthe nasal, as in lumpasti- (but here the alternative attachment oflumpati to Lat. rumpo 'break' obtrudes). + abstract suf asti
",
two options: blood → tears; ??? rain? → tears,distress,tear,PA *sH1aH1ru-,PIE *sE2eu̯-H2-,"Gk. δάκρυ, Lat. lacruma, Olr. dēr, Goth, tagr, OHG zahar), *draḱur (Arm. artawsr), *draḱnu- (OHG trahan), *aḱru (Ved. áśru, Avest. asrū-, Toch. A ākär [pl. A ākrunt, B akrūna], Lith. ašarà).",слезы / лить слезы,(*476)ASḪA-ḫi-ru-r (R.Oreshko),išhahru- /išhahruwe/a-,,,,,,,,"Indo-European 'tear' words are mostly (except Slavic [Russian sleza] and Albanian [lot]) traceable to *daḱru- (<*draḱ-ru-: Gk. δάκρυ, Lat. lacruma, Olr. dēr, Goth, tagr, OHG zahar), *draḱur (Arm. artawsr), *draḱnu- (OHG trahan), *aḱru (Ved. áśru, Avest. asrū-, Toch. A ākär [pl. A ākrunt, B akrūna], Lith. ašarà).
ishahru is clearly the basic spelling, with the occasional ēshahru influenced by the proximity of ēshar on the ""calamity lists"" (e.g. KUB VII 41 Vs. 18-19); hence the i- may be phonetically and/or orthographically prothetic (cf. e.g. ishiya-), and a possible reconstruction is *sH1aH1ru-. Oettinger posited ishahru<*sA1aḱru (s-mobile + [A1]aḱru, with h<k as in occasional hazhara- <hazgara-), where the attestation of s-mobile before laryngeal would be chiastically proportionate to Hitt. he(w)u-: Toch. A swase, OPruss. suge 'rain' (*[s]E2ew-H2-). In that case *A1aḱru can hardly be a secondary aberration from *daḱru (the a- vocalism of the latter being also unexplained); there is rather *(s-)A1aḱru- besides *(d-)A1aḱ-ru>*daḱru-, but with occasional *A1>*r in some forms of Indo-European (Arm. artawsr<*draḱur, OHG trahan<*draḱ-nu-), comparable to the Hittite alternation wahnu-: warnu-; another trace of such ""d-mobile"" may be seen in Lith. ilgas 'long' besides the more usual d-forms (Skt. dīrghá-, etc.), or in Ved. áhar 'day' beside OE dōgor. *A1aḱru- conceivably has basic truck with *aḱri-, aḱro- (Skt. áśri- 'edge', Gk. ἄκρις 'point, peak', Lat. ācer, Lith. ašrús, OCS ostrǔ 'sharp'), in the sense of 'bitter, acrid (fluid)' (cf. the universal cliche 'bitter tears').

A clause from ASSUR letter f+g, § 7 read in CHLI (HAWKINS 2000: 536, cf. 550) as follows: 

|“*476”-wa/i-pa-wa/i (*476.*311)ḫi-ru-ra+a-ti-i |ARḪA |wa/i-la-u-ta 

The sequence read as ASḪA-ḫi-ru-ra+a-ti can be interpreted phonetically as as ḫaḫ(e)ruradi which can be analyzed as an abl.-instr.sg. form of asḫaḫ(e)rur-. As a result, the passage can now be interpreted as expressing the idea of ‘eyes dying out from tears’.
NB! Нужно указать, что основное значение, менстримное, в едиане, у ASḪA-ḫi-ru-ra+a-ti -- про проклятие и клятву, см. https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=3571",
haplology: *alala + lamniya- 'call out alala',distress,wail,PA *h3ór-/h3r-´.,,"Arm. alalak 'cry, scream'; Gk ἄλαλά'cry aloud'",рыдать (громко),"(“*476.*311”)a-li-ia- and (“*476”)LOCUS-li-ia- (R.Oreshko)Hieroglyphic Luwian /arla-/, ara/i-la- ‘pedestal, altar (?) Cuneiform Luwian *ārla(/i)- ‘place (?) /aru-/, á-ru ‘highly, in high measure’",alalamnai- alalamniya- рыдать (громко),arū-/-aw- ‘high’,ara- ‘estate’,*eru- ‘high’,,,,*arliš / *arĺiš ,"Perhaps haplological for *alala + lamniya- 'call out alala; cf. Arm. alalak 'cry, scream'; Gk. QLXOLXOLI (interjection), dXaXr} 'outcry', oUaAa(o; 'cry aloud', FAFAF.V 'alas', dXoXvto) 'cry out'; RV4.18.6 eta arsanty alalabhdvantlr 'those (waters) flow, loud- sounding' (cf. IEW 29). For lamniya-, cf. s.v. laman-. Cf. Puhvel, .MOS* 97:598 (1977).",
onomatopoeic (wow! oi-wei!<--wai-),distress,wail,PA *u̯āi̯-! ‘woe’ ,PIE  *u̯āi̯-! ,"Av., Gk., Lat., Celt., Germ., Balt., Alb.) attest an interjection PIE *u̯ai̯!, which expresses pain, sorrow, grief, etc., thus ‘alas!’","wail, to scream, yell (?)","/wai-/, wa/i-i; waḫra-, waḫri-(ti); wiwai-; (GK) uwai- ‘to make someone feel sorry for oneself’; (CL) (u)wāi- ‘woe’ uwai-to make someone feel sorry for oneself",wai-/we-/wesk-/wiya-; waḫra- (CL); wiyai-; (u)wāi- ‘woe’,,,,,,,,"PAnat *u̯āi! ‘woe’      The presence of the word (u)wāi- c. ‘woe’ in both Hittite and Luwian allows us to reconstruct a Proto-Anatolian pre-form. The onomatopoetic character of the word, which can be associated with a cry of pain, leads us to a reconstruction with the vowel -a-, i.e. *u̯āi!. Kloekhorst (EDHIL:939) agrees with the onomatopoetic origin of the word, but suggests that (u)wāi- is nevertheless a derivative of ú-i ‘whee!’ attested in Hittite (KUB 55.38 ii 19). Although it is morphologically possible that (u)wāi- is a morphological creation after (Hittite) diphthong stems in -āi- c., it is not necessary either to posit a derivation. Both ú-i and ú-wa-a-i can be independent onomatopoetic creations, in which the latter became fully lexicalized as a declining noun with the meaning ‘woe’. For the Hittite phrase a-i-in ú-wa-a-i-in see HEG U-Z:170f. and EDHIL:939.                                    Besides PAnat. *u̯āi̯- c. ‘woe’, a noun is attested in distant parts of the IE world (Av., Celt., Germ., Alb.). Thus, the noun may be reconstructed for the proto-language as PIE *u̯ai̯- ‘woe’.

1. “Root” etymology
Various non-Anatolian languages (Av., Gk., Lat., Celt., Germ., Balt., Alb.) attest an interjection PIE *u̯ai̯!, which expresses pain, sorrow, grief, etc., thus ‘alas!’ vel sim.",
"to weigh a lot, to be heavy (physically) → to carry weight in a figurative sense → to be important (shift: heavy burden → heavy → important);
weight, heaviness → strength → power, influence → importance → respect, esteem, high regard, attentiveness, love",distress / respect,anxiety,PA *nakki- (от instr) ,PIE *h1nek̑- *h1nok̑-,"Gk. ἐνεγκ-ε/ο-, перф. ἐνήνοχα, нести,  Lith. naˇst`a  «груз, бремя»","беспокоить, ‘to be(come) a concern to someone, to be difficult for someone; (part.) honoured, revered’ценный, важный; относиться с уважением",,"nakkiyaḫḫ-; nakki- 'important'; nakkiyaḫḫ-, nakki-: nakkušatar, nakkušann-; nakkiya-; nakkešš- (together with a synonym dassu- can be written DUGUD)",,,,,,,,Puhvel (HED N:49-51),22
,enmity,curse,,,,curse,,ḫurtai-; hu(wa)rt-,,,,,,,,"HED: PIE *h2 órt-ei / *h2urt-énti ? .  *h2uert; *H1wer(t)- (vs. *wer-[E-] in weriya-) with a more specific meaning than the overworked 'feierlich sprechen'. Plausible cognates are Skt. vrata- 'vow', OCS rota 'oath', OPr. wer-temmai 'we swear', and perhaps (in malam partem) Russ. vrat' 'lie', OCS vraci 'conjurer, magician, physician' Kloekhorst 372 ḫuart-i / ḫurt- (IIa1 > IIa1) ‘to curse’ IE cognates: ?OPr. wertemmai ‘we swear’. Sturtevant (1930d: 128) connected this verb with Lat. verbum ‘word’, Lith. vadas ‘name’, OPr. wirds ‘word’, Goth. waurd ‘word’. Puhvel (l.c.) rejects this etymology
because he assumes that these latter words are derived from the root found in Gr.‘to speak’ and Hitt. erie/a-zi ‘to call, to name’: since Hitt. erie/a- does not show an initial laryngeal whereas Hitt. uart-i / urt- does, he claims that the connection cannot be correct. This reasoning is questionable, however, in view of the fact that Hitt. erie/a-zi must reflect *uerh1- (because of Gr. ""(fut.)), which is impossible for Lith. vadas, which must reflect *ordho- (a preform **orh1dho-would have yielded Lith. **várdas). So, formally, Sturtevant’s connection between uart-i / urt- and Lat. verbum etc. is still possible: it would mean that we have to reconstruct a root *h2uerdh -. The semantic connection between ‘to curse’ and ‘name, word’ is not compelling, however. Puhvel (l.c.) proposed a different etymology, namely a connection with OPr. wertemmai ‘we swear’. This connection is semantically more likely and would point to a root *h2uert-. The absence of any other IE cognates is unpleasant, however.",
,enmity,curse,,,,"to curse; ranting, slandering, cursing","ārraḫḫani-(ti); arraḫḫaniya, arraḫḫaniyama/i-",,,,,,,,,"Rieken 2017e:245f. shows that Luwian arraḫḫani(ya)- could have been the origin of a generalization of a suffix “-(a)ni(ya)-” with allomorph “-ni(ya)-” (for older analyses of this suffix cf. Otten 1953a:95 who considered a “verbalstammbildendes -ni-”, cf. also Meriggi 1957b:57; Starke 1990a:147 assumed a Luwian denominal suffix “-ani̯i-”) to derive other verbs with a similar meaning or function. While the base of tiwatani(ya)- and ḫīrutani(ya)- are attested, since tiwat- is the name of the Sun god and ḫīrūn- / ḫīrūt- means ‘(false) oath’, for ārraḫḫani(ya)-ti a base such as *araḫḫa- is missing. Following Rieken 2017e:248f., the formation of the suffix “-(a)ni(ya)-”, before its reanalysis, was probably based on a combination of the Luwian suffix -i(ya)- (forming verbs from nouns, cf. Melchert 2003b:199) with an -n-stem *arraḫḫan- (cf. Rieken 2017e:248f.). This n-stem could include a Luwian suffix -an- (attested in some nouns, cf. Melchert 2003b:197). The root of the denominative verb ārraḫḫani-(ti) ‘to curse’ is connected to the tentative PIE root *reh2- ‘to scream, roar’ (see LIV²:501) by Rieken 2017e. To account for the word initial vowel and the geminate -rr-, Rieken 2017e:247f. suggests two scenarios: either (1) we are dealing with a compound *(h1)en-reh2- or (2) with a prothetic vowel caused by the lack of words that begin with **r and followed by a retraction of the accent and the gemination under Čop’s Law. Though she prefers the second option, she concedes that independent evidence is lacking. https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=3006",
,enmity,curse,*tér-/tṛ-´.,,,to curse (?),"HL /tadariya-(i)/, (LOQUI)tá-tara/i-ia- ‘to curse’; CL *tatariya-(i) ‘to curse’",tar- ‘to say’,dar- ‘to speak (?)’,,dderije-(ti) ‘to curse (?)’,,,,,"PLuwic *tedorii̯a-(i) ‘to curse’ Skt. tārá- ‘loud, shrill, pervasive’ [+] Gk. fut. 1sg. τετορήσω ‘to proclaim in shrill piercing tones’ (hapax, Ar.Pax381), τορός ‘loud, shrill, clear; fast, agile’, OIr. torm ‘sound, tumult’, Lith. tariù, tarýti ‘to speak, say’, OPr. attrātwei, etc. ‘to answer’, acc. sg. tārin f. ‘voice’ (III) EDBIL:—, ALEW 2.0 s.v. tar̃ti (2022-02-11), PKEŽ² s.vv. tārin (2022-02-23), attrātwei (2022-02-23), Smoczyński 2005a:131 (?)Russ. torotórit’ ‘to chatter’, Cz. trátořiti ‘to chatter (a lot)’ TochB m‑part. tärraskemane ‘pleading, imploring’ or ‘comforting, soothing’ (hapax, THT 85 a 3) PIE *terh1- ‘to drill, rub’ (LIV²:632f.) or PIE *terh2- ‘to pass, cross’ ? but PIE *ter- ‘to speak’ ",
"speak with gravity, loudly → to swear → to give a false oath",enmity,curse,"PA *h2ēru̯o- 'oath', *h1r̥h1-i̯é/ó- ",PIE *h2er-,"Vedic ā́-aryanti ‘they appreciate, acknowledge’, āritá- ‘acknowledged’, ncient Greek ἀρά, Ionic ᾱ̓ρή f. ‘prayer, vow, curse’ (Il.+) < *aru̯ā́, Arcadian κάταρϝος ‘cursed’, (?) Mycenaean personal names ka-ta-wa, ka-ta-wo, (?) ἀρύω ‘reply, order, cry, call’, Latin ōrō, -āre ‘argue, plead; pray to, beseech’ (Lex XII, Andr.+), Oscan urust 3sg fut. perf. ‘will have argued (publicly), Russian orú, orátь ‘yell, scream’, Serbo-Croatian oriti se ‘resound, resonate, Armenian owranam, aor. owracʿaw ‘deny, disavow’ ","to swear, commit perjury","ḫīrūtaniya-(ti) ‘to swear, commit perjury’;  /hirud-/, (“*476”)hi-ru-tà- ‘curse, false oath (?)’; CL ḫīrūn/t- ‘(false) oath’",CL ḫīruta- ‘(false) oath’,,"irdu- ‘oath (?)’ -- hapax, an arrangement that someone can decree for someone else",,,,,,"*h2ēru̯o- ‘oath’ Laroche 1955a:78-81 first elucidated the meaning of ḫīrūn/t- by equating it with Hitt. lengai- c. ‘oath’. After Otten 1953a:95 n. 166 had noticed that ḫīrūn/t- has a negative connotation, Laroche pointed out the following features of the word: a) it is used as a modifier of ‘tongue’ and ‘lord’, b) it is also collocated with taparu- ‘(something negative)’ and tātariyam(ma)n- ‘curse’ in Luwian, c) it is used as an epithet of Išḫara and the Sun-god functioning as a guardian and witness of oath, respectively, d) EME ‘tongue’ is modified by the genitival attributes lengai- ‘oath’ and ḫurtai- ‘oath’ in Hittite. Taken together, the evidence allows to equate semantically ḫīrūn/t- with lengai- ‘oath’. Laroche’s interpretation was generally accepted and soon entered the handbooks; Vedic ā́-aryanti ‘they appreciate, acknowledge’, āritá- ‘acknowledged’, ncient Greek ἀρά, Ionic ᾱ̓ρή f. ‘prayer, vow, curse’ (Il.+) < *aru̯ā́, Arcadian κάταρϝος ‘cursed’, (?) Mycenaean personal names ka-ta-wa, ka-ta-wo, (?) ἀρύω ‘reply, order, cry, call’, Latin ōrō, -āre ‘argue, plead; pray to, beseech’ (Lex XII, Andr.+), Oscan urust 3sg fut. perf. ‘will have argued (publicly), Russian orú, orátь ‘yell, scream’, Serbo-Croatian oriti se ‘resound, resonate, Armenian owranam, aor. owracʿaw ‘deny, disavow’ In LIV²:271 s.v. ?3. *h2er-, the meaning of the root is rendered as ‘speak with gravity, loudly’ (“gewichtig/laut sprechen”; see also Rix 1993a:331–334), which fits to most of the verbal and nominal continuants of the root in the Indo-European languages that predominantly refer to some official or performative speech act.",
god → Sun-god (Tiwat) → to call Tiwat (the Sun-god) as witness → swear → curse,enmity,curse,PA *di̯éu̯-/diu̯-´ ‘god’,PIE *di̯éu̯‑/*diu̯‑´*dheu̯-,"Ved. dyáv-, div-´ m./f. ‘heaven, day; god of heaven, father heaven’ (RV+); YAv. gen. sg. diiaoš ‘of the (breed of) hell’ (Yt 3.13), OAv. fraidiuuā ‘always again’ (Y 32.14) Myc. gen. sg. di-wo /diu̯os/, dat. sg. di-we /diu̯ei̯/ m. ‘?Zeus’; Gk. (Hom.) nom. sg. Ζεύς m. god name ‘Zeus’, gen. sg. Διός, Ζηνός, dat. sg. Διί, Ζηνί, acc. sg. Ζῆν (cf. εὐρύοπα Ζῆν, e.g., Il. 8.206), Ζῆνα, Δία, voc. sg. Zεῦ (all Il.+) Arm. tiw ‘day’, abl. sg. towē, gen. dat. loc. sg. towǝnǰean, Lat. Iuppiter, Iouis m. divine name ‘Jupiter’ (Naev.+): nom. sg. Iūpiter, later Iuppiter, also Iouis (Enn., Acc.+), acc. sg. (inscr.) Diovem (Praeneste), Iouem, gen. sg. Diouos, Iouos, Diouo (Praeneste, Norba), Diouis, Iouis, dat. sg. Diouei (Falerii, Mesagne), Iouei (Praeneste, Spoleto), Iouī, abl. sg. Ioue, nom. pl. Iouēs (Cic.); Osc. nom. sg. dípatír, gen. sg. διωϝηις, iúveís, zoves (Presam. διπoτερες, Marr. ioues patres), dat. sg. διoυϝει, ζωϝηι, ιoυϝηι, diúveí, iúveí, iuveí (Mars. ioue); Umbr. voc. sg. iupater, di, dei, gen. sg. iuvip(atres?), dat. sg. iuve, iuue, iuvepatre, iuve patre, OIr. nom./gen. sg. die, día m. ‘day’, acc./dat. sg. dé, OW did m. ‘day’, diu sul m. ‘Sunday’, MW dyw, W dydd m. ‘day’, Corn. deth, Bret. deiz m. — OIr. indiu ‘today’, W heddiw, MCorn. hethew, MBret. hizio, NBret. hirio, ?OCS dŭždĭ m. ‘rainstorm, bad weather’, Russ. nom. sg. doždĭ, gen. sg. doždja, SCr. dȁžd, gen. sg. dàžda ‘id.","to swear, curse; swearing, cursing",tiwataniya-(ti); tiwataniya-; tiwataniyama-; tiwataniye/a-(mi); tiwatani-(ti) */tiw-/ ‘deity’,"šiu(n)- c. ‘god’, ", *tiu(n)- ‘god’,ciw- ‘god’,,ziwi ‘divinity (vel sim.)’,,,,"PIE *di̯éu̯‑/*diu̯‑´. Korolev & Shevoroshkin 1969a:527 (followed by Shevoroshkin 1971a:217 and Shevoroshkin 1977a:139, Gehrisch 2018a:87) suggests translating dat. sg. ziwi as ‘god’, which would be supported from the Indo-European perspective (the root *di̯eu-, as in Hitt. siu(n)- ‘god’, Lyd. ciw- ‘id.’). Melchert (DLL:138) finds the etymology unpersuasive, probably on account of the phonology. However, Sasseville 2021d brings evidence that the initial sequence *di-/di̯- in Lycian B would have behaved differently from Lycian A (adducing the personal name tiwi-θθeimija-/tiwi-θθeimi) and a potential second example of this sound law in Lyc. B zireime/i-. Thus, the Lycian B phonological development of this sequence would be parallel to the Lydian one. Ved. dyáv-, div-´ m./f. ‘heaven, day; god of heaven, father heaven’ (RV+); YAv. gen. sg. diiaoš ‘of the (breed of) hell’ (Yt 3.13), OAv. fraidiuuā ‘always again’ (Y 32.14) Myc. gen. sg. di-wo /diu̯os/, dat. sg. di-we /diu̯ei̯/ m. ‘?Zeus’; Gk. (Hom.) nom. sg. Ζεύς m. god name ‘Zeus’, gen. sg. Διός, Ζηνός, dat. sg. Διί, Ζηνί, acc. sg. Ζῆν (cf. εὐρύοπα Ζῆν, e.g., Il. 8.206), Ζῆνα, Δία, voc. sg. Zεῦ (all Il.+) Arm. tiw ‘day’, abl. sg. towē, gen. dat. loc. sg. towǝnǰean, Lat. Iuppiter, Iouis m. divine name ‘Jupiter’ (Naev.+): nom. sg. Iūpiter, later Iuppiter, also Iouis (Enn., Acc.+), acc. sg. (inscr.) Diovem (Praeneste), Iouem, gen. sg. Diouos, Iouos, Diouo (Praeneste, Norba), Diouis, Iouis, dat. sg. Diouei (Falerii, Mesagne), Iouei (Praeneste, Spoleto), Iouī, abl. sg. Ioue, nom. pl. Iouēs (Cic.); Osc. nom. sg. dípatír, gen. sg. διωϝηις, iúveís, zoves (Presam. διπoτερες, Marr. ioues patres), dat. sg. διoυϝει, ζωϝηι, ιoυϝηι, diúveí, iúveí, iuveí (Mars. ioue); Umbr. voc. sg. iupater, di, dei, gen. sg. iuvip(atres?), dat. sg. iuve, iuue, iuvepatre, iuve patre, OIr. nom./gen. sg. die, día m. ‘day’, acc./dat. sg. dé, OW did m. ‘day’, diu sul m. ‘Sunday’, MW dyw, W dydd m. ‘day’, Corn. deth, Bret. deiz m. — OIr. indiu ‘today’, W heddiw, MCorn. hethew, MBret. hizio, NBret. hirio, ?OCS dŭždĭ m. ‘rainstorm, bad weather’, Russ. nom. sg. doždĭ, gen. sg. doždja, SCr. dȁžd, gen. sg. dàžda ‘id.’                                  https://www.ediana.gwi.uni-muenchen.de/dictionary.php?lemma=2665",
